"Date" "CUS_SMG" "CUS_W_SM" "EML_SM" "GCS_SM" "WAF_SM" "ENA_SM" "AWP_SST_area" "AWP_SST" "TNA_SST" "NP_SST" "NWA_SST" "ENSO3.4_SST" "WHWP_SST_area" "WHWP_SST" "AMO_SST" "TNA_SSS" "AWP_SSS" "PML_STG" "WA_LSTC" "EA_LSTC" "WA_LSTCA_E" "EA_LSTCA_E" "WA_LSTCA_W" "EA_LSTCA_W" "WA_LSdTC" "EA_LSdTC" "WA_LSdTCA_E" "EA_LSdTCA_E" "WA_LSdTCA_W" "EA_LSdTCA_W" "SASMI" "NASMI" "AO1" "NAO" "PDO" "P"
1948-01-01 1.16438265733417 -0.907072635556925 -2.23758800227942 -0.688620480555666 0.522353375433479 0.935192664514646 -0.678210581776209 -0.937015042283037 -0.841062811582397 1.153563233146 -0.0126743529961288 -0.794884890304604 -0.8910998650826 -0.877853882137782 -0.85412731457971 0.635909870142669 0.00676253829633678 -0.845914907180878 -1.15210374818128 -0.952309837031391 -0.71830564885056 0.222886367776571 -1.12322706012613 -0.741474232181548 NA NA NA NA NA NA 1.91713665417193 1.50472364871917 NA NA 0.563068852017687 -2.36443387230141
1948-02-01 1.16034354872605 -0.371968830819548 -2.15509879000266 -0.577508047576005 0.516636577064677 0.971599593368683 -0.497846477027328 -0.583463007203998 -0.681628462714178 0.723492771960687 0.666868372154657 -0.646694091899029 -0.801188049943023 -1.00816212912643 -0.927911827299609 -0.0941047251794667 0.0845926776579534 -1.14449975825453 0.675791356691636 -0.103968427103137 -0.0475516172144736 0.908779220215607 0.452140694116314 0.431980354927879 1.65564095345552 0.75384264165036 0.645580741161248 0.846470631990853 1.47382637306219 1.08806308876339 1.77465856748032 0.24921227943335 NA NA 0.448757032072445 0.220334111075877
1948-03-01 0.951091346209539 0.209633398481573 -1.60585171208321 -0.328744068164741 0.132452620554862 1.41282905239976 -0.86878185376623 -0.172461149255904 -0.53180720149461 1.53199998336371 0.893030216059305 -0.754540479151318 -0.934370372281282 -0.869013016643999 0.148639713171314 -0.724066003189716 -0.00628985804995324 -0.183961510403233 0.689651082955276 -2.07362973369682 0.415286188365729 1.6787077197526 0.736243412936971 -0.555610515463845 -0.0400236322553879 -1.33272870421576 0.385484883049013 1.02505689219882 0.121476316008892 -0.85789473781453 -0.846900869182816 0.974812730192686 NA NA -0.0744097558643492 0.48883383475393
1948-04-01 1.21146353263829 0.10469669971842 -1.18369243875184 -0.379116958367022 0.220142336634197 1.39743454041991 -1.15158469946118 -0.744151531939574 -0.504625179398851 1.13117451703774 1.46179395235222 -0.854480902628772 -1.10663391766585 -0.794931757631471 0.943659663360647 1.05880780065328 0.104160715777006 -1.12819444440601 0.738947274787987 -0.261700355970828 0.283361387367223 -0.29624350653539 0.924968140586344 -0.349306458444706 -0.0553164690092293 1.32989697464405 -0.148824811153042 -2.64780922047756 -0.109348618159353 0.133656565301627 -0.0418121016811576 3.06257595434395 NA NA -1.49374103178494 -0.0151512106190193
1948-05-01 1.45795158797345 0.0544632920335294 -1.0122063815594 -0.625582312587464 0.609614165108725 1.24841350646324 -1.0330768391622 -1.00634486737341 -0.619516398855973 0.576921834952403 0.729271956027423 -1.24699887502491 -1.27208666536807 -0.73976670949261 0.361671447417112 0.887785872398566 0.0644312581016333 0.939334913887212 -1.05228072671962 -0.502932817246213 1.51657649275636 0.115499244578873 -0.200696028445553 -0.323168156731526 -1.32224981040128 -0.198136274710821 1.1885357201249 0.639296679155767 -0.820311348901809 0.0436954508502473 -0.728628500733693 1.2210528857983 NA NA 0.943194293288752 -0.458817977691989
1948-06-01 0.707224488304129 0.416152289479447 -0.737011804605978 -0.950963295154023 0.719778490264957 1.07451089362311 -0.410399900106569 -1.88525000887254 -1.10187569355612 0.705560242606751 -0.0070062081767166 -1.02351146059028 -0.681284279459117 -0.957108255756399 0.153124231495647 1.40283481394927 -0.136790960450999 0.532064391392433 -0.934891526787082 0.138650298384741 1.30526950299187 -0.230759890743285 -0.0149416218419912 -0.0426681987346383 0.382661108252265 0.590361220470493 -0.435495132690963 -0.454898953232654 0.170526690106922 0.318398097150491 -1.19107795093029 2.40163247918701 NA NA 0.850706469833052 -0.350828001925973
1948-07-01 -0.462684411738932 0.303061491695219 -0.655297451491746 -1.08986596287625 0.649984755501809 1.09817966458845 -0.949512926513212 -1.84848229472511 -1.45272801548964 0.720729929318445 -0.482097003076824 -0.822969349755427 -1.17554000598482 -1.07739658205041 -0.319028258223593 1.10994570476904 -0.226217195847241 -0.0285447010716508 -0.401963763726625 0.210034562434924 0.30809615325646 -0.213681152341933 -0.259682671798896 -0.000479857910633347 0.451920957820708 0.038265658467646 -1.23694169327593 0.0272523509916295 -0.193109682895323 0.0490762542251506 -1.23145330458245 2.72191065309779 NA NA 0.0245329986087959 -0.381427380257291
1948-08-01 -0.837429585845493 -0.142154762788838 -1.26505221487838 -1.10022177363655 0.281755160404772 0.844610987775578 -1.64998460053837 -1.59727207863094 -1.28233260094135 0.635105524955684 -0.242447907725423 -0.276256703914515 -1.85166662086166 -1.46634435393196 -0.548319170919354 1.73182444409268 -0.0900749282352768 -0.783867221412385 -0.620599783795903 0.260159446385181 0.501903971455396 -0.122466691298943 -0.3477811349039 0.103071152757427 -0.206206434697224 0.0394171496483836 0.211973135615166 0.148648387385761 -0.101665134668269 0.13077796964926 0.838244308980312 0.749406852157456 NA NA -0.639626586060096 -0.592177923021258
1948-09-01 -0.0787633726802745 -0.7237534016672 -2.50235786261169 -0.662599551740588 -0.270032239006264 0.50714786711232 -1.92711199947298 -1.71356726401998 -1.41338482450433 -1.16886845032254 -0.614001605509177 -0.373995271230389 -2.07232472752024 -2.24109411785483 -0.491970145860718 1.90810632655787 0.235386824271928 -0.84812995650757 0.408088199374916 0.67164229360625 -1.34922215375333 -0.402349427727918 -0.364663073359042 0.195753799329678 0.816964576456853 0.456882614541688 -1.77628114227688 -0.53914766641575 -0.0878345556949552 0.120611413804019 -2.01532738045577 0.409059602604095 NA NA -0.778709162374766 -0.907092957263356
1948-10-01 0.496342648849597 -1.06325658958025 -2.76339086399196 -0.493232391915948 -0.386952016616278 0.159327535250539 -2.29757006617562 -2.43443764420818 -1.55612623131632 -1.57605263392087 0.542599465589666 -0.480515851854929 -2.119911913061 -1.77373671023467 -0.341412211852237 3.84463845803086 0.241787364520938 0.141746367286196 -0.42211321342359 0.142573854650253 -1.2604140893985 -0.448666894487077 -0.981838845587472 -0.202936682389584 -0.625192900982419 -0.347465457179084 -0.166879840081812 -0.114929112384792 -0.641317148397644 -0.386657395350416 -0.396883312630089 0.492364952983712 NA NA -0.923893676147499 -0.357660839159041
